#,Word 1,Word 2,Pos,Frq,Type,Level,s1,r1,s2,r2,s3,r3,s4,r4,s5,r5,s6,r6,s7,r7,s8,r8,s9,r9,s10,r10,s11,r11
1016,loqaydlik,beparvolik,NOUN,217,syn,high,9,10,7,8,8,9,9,10,7,8,8,9,8,9,10,10,9,9,8,8,8,10
1017,ulamo,olim,NOUN,213,syn,high,8,9,8,9,8,7,8,10,7,9,8,9,6,8,7,9,6,8,8,8,5,8
1018,muallima,o'qituvchi,NOUN,195,syn,high,8,10,10,10,9,10,7,8,7,9,6,10,5,9,9,10,4,8,6,8,7,9
1019,suverenitet,mustaqillik,NOUN,191,syn,high,9,10,9,9,8,8,7,8,5,8,9,9,10,6,6,8,7,9,8,8,8,8
1020,sayyod,ovchi,NOUN,188,syn,high,9,9,10,10,7,9,9,10,8,8,9,9,5,7,9,10,9,10,2,6,8,9
1021,bosmaxona,noshirlik,NOUN,181,syn,high,6,9,8,9,5,7,9,10,8,10,8,8,8,9,3,6,8,8,2,6,8,10
1022,kenja,kichik,NOUN,178,syn,high,6,6,5,6,5,7,5,6,8,8,5,6,6,7,3,5,3,5,8,7,7,8
1023,qavm,qabila,NOUN,169,syn,high,5,9,7,9,9,9,8,8,10,10,8,9,7,9,7,10,8,9,8,2,8,9
1024,imlo,yozuv,NOUN,164,syn,high,7,8,6,8,7,10,6,9,6,9,7,7,6,10,9,10,6,7,8,10,6,8
1025,adad,miqdor,NOUN,161,syn,high,8,9,8,8,6,7,8,8,8,8,2,8,8,10,6,9,8,9,6,8,8,9
1026,silsila,avlod,NOUN,157,syn,high,6,8,6,8,8,9,8,9,6,8,7,8,6,8,4,6,10,10,5,6,8,8
1027,talant,iste'dod,NOUN,149,syn,high,8,10,10,10,8,9,8,10,9,10,8,8,9,10,9,10,9,10,9,10,9,9
1028,yog'du,yorug'lik,NOUN,142,syn,high,7,8,6,8,8,9,7,7,7,8,8,9,7,8,6,7,3,6,8,8,7,8
1029,zoologiya,xayvonot,NOUN,141,syn,high,6,9,8,9,8,10,9,9,9,10,5,9,10,10,6,9,8,9,7,8,8,9
1030,bashariyat,insoniyat,NOUN,140,syn,high,7,9,9,10,9,10,8,9,10,10,9,9,9,10,9,9,9,9,2,6,8,9
1031,sukut,jimlik,NOUN,137,syn,high,7,9,8,8,8,8,9,9,8,9,0,8,6,8,8,10,4,5,8,6,4,8
1032,ko'makchi,yordamchi,NOUN,136,syn,high,9,10,9,10,9,8,9,9,9,10,8,8,9,10,9,10,9,9,8,8,8,9
1033,kunchiqar,shafaq,NOUN,130,syn,high,3,6,7,8,3,7,5,6,4,6,8,8,4,7,3,6,1,4,6,8,3,7
1034,taskin,tasalli,NOUN,127,syn,high,8,10,9,10,8,9,9,10,8,9,9,10,7,9,7,9,8,9,9,10,6,6
1035,zulmat,qorung'ulik,NOUN,124,syn,high,10,10,9,9,6,7,5,8,8,8,0,2,8,9,4,7,8,9,8,9,9,9
1036,parvardigor,alloh,NOUN,117,syn,high,9,10,8,9,9,9,10,10,9,10,10,10,10,10,10,10,10,10,8,10,10,10
1037,dastxat,imzo,NOUN,116,syn,high,9,9,5,5,9,9,9,10,7,9,9,10,6,9,10,10,8,10,9,8,4,7
1038,moziy,tarix,NOUN,116,syn,high,8,10,6,9,9,10,8,8,9,10,7,8,9,9,7,10,6,6,9,8,8,8
1039,sovutgich,muzlatgich,NOUN,112,syn,high,8,9,8,10,8,9,7,7,7,10,8,9,9,10,5,8,4,6,9,8,9,9
1040,radiatsiya,nurlanish,VERB,106,syn,high,4,8,6,10,5,8,9,10,8,10,8,10,6,9,6,10,2,7,8,8,6,7
1041,vorislik,merosxo'rlik,NOUN,106,syn,high,10,10,8,9,9,10,10,10,10,10,7,9,9,9,10,10,10,10,8,8,9,9
1042,ekinzor,dala,NOUN,105,syn,high,8,8,8,10,7,8,7,9,7,8,7,10,6,8,7,9,5,10,6,7,6,8
1044,tashnalik,suvsirash,VERB,101,syn,high,9,10,10,10,8,9,10,10,8,9,6,7,9,10,9,9,10,10,8,7,6,8
1045,ulug'vorlik,buyuklik,NOUN,101,syn,high,8,10,8,9,8,9,9,9,8,8,8,9,9,10,9,10,10,10,2,8,9,9
1046,tirishqoqlik,xarakatchanlik,NOUN,100,syn,high,8,9,8,8,7,9,9,9,9,10,9,9,9,10,8,9,8,9,8,8,8,9
1047,kiyik,oxu,NOUN,99,syn,high,9,9,9,10,9,9,9,9,8,8,10,10,9,9,6,7,9,10,8,8,8,9
1048,bo'sag'a,ostona,NOUN,95,syn,high,10,10,9,10,7,9,10,10,8,8,8,9,9,10,9,10,9,10,9,10,8,8
1049,iltijo,o'tinch,NOUN,92,syn,high,9,10,8,9,6,7,8,10,7,9,7,10,5,8,4,7,8,9,8,8,6,8
1050,yegulik,ozuqa,NOUN,89,syn,high,6,8,9,9,7,8,5,8,6,9,9,9,4,8,4,6,4,5,6,8,9,9
1051,jumboq,topishmoq,NOUN,83,syn,high,4,9,7,8,7,9,7,8,8,9,9,9,9,10,5,7,7,8,8,10,6,8
1052,mangulik,abadiylik,NOUN,80,syn,high,10,10,10,10,8,8,8,9,8,9,9,9,9,9,7,9,7,9,10,9,3,8
1053,sirdosh,maslakdosh,NOUN,80,syn,high,9,9,8,8,7,8,8,9,9,8,8,9,8,10,6,9,4,6,6,8,8,8
1054,o'tov,chodir,NOUN,72,syn,high,10,10,9,9,6,7,9,10,8,8,9,10,9,10,6,9,7,8,9,9,3,6
1055,sulh,kelishuv,NOUN,71,syn,high,8,9,8,10,6,7,7,9,9,9,7,8,8,9,8,9,9,9,0,7,7,9
1056,epchillik,chaqqonlik,NOUN,69,syn,high,9,9,10,10,7,9,9,10,8,9,8,9,9,10,9,10,9,10,8,8,9,9
1057,marvarid,olmos,NOUN,69,syn,high,6,9,9,9,8,9,8,9,6,8,8,10,9,10,7,9,5,6,7,8,7,8
1058,sukunat,jimlik,NOUN,67,syn,high,8,9,9,9,7,9,9,9,7,8,8,10,8,9,9,10,1,5,8,8,6,8
1059,suvsizlik,qurg'oqchilik,NOUN,65,syn,high,4,7,8,10,9,10,9,10,4,9,9,10,6,7,3,7,3,7,4,8,9,9
1060,tarqoq,siyrak,NOUN,65,syn,high,7,8,9,9,8,9,9,9,9,10,9,10,8,9,2,4,7,8,7,10,6,8
1061,chiqit,ahlat,NOUN,63,syn,high,8,10,7,9,6,8,9,9,8,8,8,8,10,10,7,9,7,7,6,8,3,6
1062,faryod,nola,NOUN,63,syn,high,9,10,7,9,6,7,7,9,9,9,9,9,7,8,9,10,8,8,8,7,7,8
1063,hijron,ayriliq,NOUN,62,syn,high,9,10,8,9,9,9,9,9,9,10,10,10,8,9,8,10,9,9,8,8,9,9
1064,xaloskor,qutqaruvchi,NOUN,62,syn,high,9,9,8,8,7,8,9,9,9,8,6,10,9,10,7,9,7,9,8,7,9,10
1065,zukkolik,donolik,NOUN,62,syn,high,7,8,8,9,7,8,8,10,9,9,8,9,10,10,6,8,6,8,9,8,8,9
1066,daraxtzor,o'rmon,NOUN,61,syn,high,9,10,5,8,8,9,8,9,9,9,8,9,6,8,10,10,8,9,2,8,8,9
1067,qahraton,sovuq,NOUN,58,syn,high,3,7,8,9,4,8,4,8,7,8,8,9,8,10,6,9,9,10,9,8,6,8
1068,volida,ona,NOUN,56,syn,high,10,10,10,10,7,9,9,10,10,10,9,9,8,10,10,10,10,10,6,4,9,9
1069,inoqlik,totuvlik,NOUN,55,syn,high,9,10,9,10,8,8,9,9,9,9,8,8,9,10,9,9,9,9,9,10,8,10
1070,luqma,ozuqa,NOUN,55,syn,high,3,6,7,9,7,9,5,6,2,8,7,9,3,5,5,8,6,7,8,6,3,6
1071,judolik,ayriliq,NOUN,53,syn,high,9,9,10,10,7,8,8,9,9,9,8,8,10,4,8,9,10,10,8,10,9,9
1072,kirdikor,ayb,NOUN,53,syn,high,8,9,5,9,8,7,8,9,7,8,8,9,3,10,9,10,8,9,8,7,3,7
1073,yumshatish,bo'shatish,VERB,50,syn,med,4,6,8,9,3,5,3,4,4,5,8,9,5,6,3,5,3,5,8,7,4,5
1074,jahannam,do'zax,NOUN,49,syn,med,10,10,9,10,9,9,8,10,9,9,9,9,6,8,10,10,9,10,8,8,8,9
1075,zabon,til,NOUN,49,syn,med,9,10,9,9,8,8,9,10,8,9,8,8,6,8,10,10,9,10,4,7,7,8
1076,ajoyibot,g'aroyibot,NOUN,48,syn,med,9,10,6,7,7,8,8,9,9,10,8,9,9,9,8,9,9,9,8,8,9,9
1077,muomila,so'zlashuv,NOUN,48,syn,med,6,8,8,8,6,8,6,6,9,10,8,9,8,10,7,9,3,4,8,10,7,8
1078,arizachi,da'vogar,NOUN,47,syn,med,8,9,7,8,9,9,8,10,9,10,5,4,9,10,9,10,7,9,1,1,7,9
1079,tintuv,tekshiruv,NOUN,47,syn,med,8,9,5,8,5,6,4,7,8,8,8,9,6,7,6,7,3,4,8,9,6,8
1080,nochorlik,ilojsizlik,NOUN,46,syn,med,9,10,10,10,8,9,9,9,7,8,8,9,8,9,4,6,3,4,6,7,8,9
965,xodim,rahbar,NOUN,411,syn,high,2,4,4,6,3,5,2,6,3,8,5,6,2,6,4,7,4,5,6,7,4,5
1043,nabotot,botanika,NOUN,102,syn,high,7,10,7,8,7,8,8,8,6,8,7,7,7,9,7,9,7,9,3,4,8,9
1081,kulba,chayla,NOUN,43,syn,med,9,10,9,9,8,9,6,7,6,9,7,8,10,10,6,9,6,10,6,8,5,6
1082,hotima,yakun,NOUN,42,syn,oov2,5,8,10,10,8,9,9,8,8,10,8,10,5,8,8,9,8,9,9,9,8,8
1083,muloyimlik,xushmuomala,NOUN,42,syn,med,8,9,9,10,8,7,9,10,9,10,7,8,7,8,9,10,9,10,8,8,3,6
1084,bedorlik,uyqusizlik,NOUN,38,syn,med,8,9,10,10,7,8,9,9,8,9,8,9,7,8,10,10,8,9,7,9,9,9
1085,qalloblik,tovlamachilik,NOUN,37,syn,med,9,10,8,10,7,8,8,10,9,10,7,8,9,10,9,9,9,9,6,8,6,8
1086,sergaklik,xushyorlik,NOUN,37,syn,med,9,9,9,9,8,9,9,10,9,10,10,10,9,10,9,9,9,10,10,9,8,9
1087,zavja,xotin,NOUN,37,syn,med,8,9,10,10,9,10,8,8,9,10,8,9,9,10,9,10,6,7,8,8,3,6
1089,afsungar,jodugar,NOUN,32,syn,med,8,10,10,10,7,8,8,9,9,9,9,10,8,10,8,9,9,9,8,8,8,9
1090,irqchilik,millatchilik,NOUN,32,syn,med,8,9,7,8,8,8,8,10,8,8,8,8,10,10,7,9,7,9,8,10,7,8
1091,jilmayish,kulish,NOUN,32,syn,med,6,10,6,8,5,8,7,9,7,8,9,9,9,10,6,9,8,8,6,8,6,8
1092,zurriyot,nasl,NOUN,24,syn,med,9,10,8,10,9,9,10,10,9,9,9,10,10,10,3,8,9,10,8,10,8,9
1093,g'urbat,azob,NOUN,18,syn,med,4,7,7,8,6,8,7,8,4,6,8,10,4,8,3,5,6,7,8,8,4,8
1094,so'qir,ko'ziojiz,NOUN,18,syn,med,9,10,10,10,10,9,8,9,8,10,9,9,9,10,9,10,9,10,9,10,8,9
1095,gumashta,xamtovoq,NOUN,16,syn,med,5,6,7,8,6,7,6,7,7,8,7,7,6,8,2,6,3,6,8,7,3,6
1096,garmdori,qalampir,NOUN,15,syn,med,7,9,6,9,6,8,8,9,9,9,7,8,9,10,7,9,6,7,8,8,5,7
1097,o'jarlik,qaysarlik,NOUN,13,syn,med,9,9,8,8,8,9,10,10,10,9,7,8,10,10,10,10,9,9,8,10,8,9
1098,qopcha,xaltacha,NOUN,13,syn,med,3,9,6,7,6,7,5,6,9,9,9,9,4,6,6,8,4,6,6,7,8,9
1099,mushk,atir,NOUN,10,syn,med,8,9,8,8,7,7,8,8,10,10,7,8,8,10,6,8,7,8,8,7,7,8
1100,nashriyot,bosmaxona,NOUN,5,syn,low,9,10,6,8,8,9,7,9,9,10,9,10,4,7,4,6,6,8,8,8,8,9
1101,mizoj,xaridor,NOUN,4,syn,low,10,10,10,10,9,9,10,10,10,9,8,8,10,10,10,10,9,10,4,7,9,10
1102,muttahamlik,ayyorlik,NOUN,4,syn,low,7,9,7,8,9,9,7,9,10,10,5,7,7,8,8,10,9,10,5,8,8,9
1103,sharmsizlik,behayolik,NOUN,4,syn,oov,7,9,8,9,8,9,8,9,10,10,9,9,9,10,9,10,7,8,7,9,9,9
1104,yuzsizlik,bezbetlik,NOUN,4,syn,low,9,9,8,9,7,8,8,9,7,8,8,8,9,9,10,10,9,10,8,6,3,6
1105,chaqimchilik,sotqinlik,NOUN,3,syn,oov,2,6,4,5,4,6,4,5,5,5,7,6,4,5,3,6,2,5,8,8,7,8
1106,fosiqlik,qabihlik,NOUN,3,syn,low,6,9,8,8,7,8,6,7,9,8,2,2,8,10,6,9,9,9,8,6,9,9
1107,safardosh,xamroh,NOUN,3,syn,oov,4,8,8,10,8,8,6,8,8,8,8,9,6,8,10,10,6,7,8,7,7,8
1108,tashviqot,targ'ibot,NOUN,3,syn,low,9,10,8,8,8,10,7,9,9,10,7,8,9,10,9,10,9,10,8,10,8,9
1109,toqatsizlik,besabrlik,NOUN,3,syn,low,7,9,9,10,8,8,7,9,8,9,8,9,6,7,4,8,4,5,8,9,6,7
1110,bezbetlik,yuzsizlik,NOUN,2,syn,low,10,10,6,7,7,8,8,9,6,8,8,9,9,10,9,10,9,9,2,9,6,6
1111,ilmparvar,olim,NOUN,2,syn,low,4,7,5,8,6,6,8,9,7,8,8,8,6,10,4,7,3,5,8,7,6,6
1112,latifago'y,qiziqchi,NOUN,2,syn,oov,9,10,6,9,7,8,8,8,8,8,10,10,9,9,5,7,3,4,4,6,7,8
1113,sarhad,chegara,NOUN,2,syn,low,7,9,8,10,7,8,6,8,9,8,9,9,8,9,8,9,9,9,4,9,6,8
1114,valiaxt,shaxzoda,NOUN,2,syn,oov,9,9,8,9,9,10,10,10,6,8,8,9,8,9,7,9,8,9,8,8,8,8
1115,zakot,ehson,NOUN,2,syn,low,6,8,8,9,8,8,6,7,9,9,7,8,6,9,6,9,6,8,4,9,8,9
1116,afsunkor,sehrgar,NOUN,1,syn,low,8,10,8,8,8,8,9,10,9,9,9,9,9,10,9,10,8,9,8,10,9,10
1117,betamizlik,ablahlik,NOUN,1,syn,oov,4,6,7,9,7,7,6,8,8,9,9,9,9,10,4,7,6,8,7,9,8,9
1118,betayinlik,tutruqsizlik,NOUN,1,syn,low,9,10,8,9,7,8,9,10,9,10,9,10,9,10,6,8,10,10,2,6,8,8
1119,ehson,xayriya,NOUN,1,syn,low,9,9,8,10,7,9,8,10,8,9,7,10,9,10,7,9,6,7,8,9,8,8
1120,gazanda,ablah,NOUN,1,syn,low,7,9,3,6,8,9,8,8,7,8,7,9,4,5,6,9,6,7,2,2,3,6
1121,ginachi,arazchi,NOUN,1,syn,low,8,9,8,8,6,8,9,9,9,9,9,10,9,10,9,10,8,9,9,8,8,8
1122,hayolchanlik,xayolparastlik,NOUN,1,syn,oov2,9,9,8,8,8,9,9,9,8,9,7,7,8,9,6,7,9,10,8,2,6,8
1123,kamquvvatlik,bemajol,NOUN,1,syn,low,9,9,8,8,4,6,8,8,6,7,9,9,7,8,8,9,3,4,2,8,6,7
1124,mojarochi,janjalkash,NOUN,1,syn,low,8,10,9,10,8,8,7,8,7,8,6,9,6,8,6,8,6,7,6,8,9,9
1125,naxor,tong,NOUN,1,syn,low,6,7,9,9,7,9,8,9,9,8,7,8,8,10,4,9,8,10,2,7,8,9
1126,noasl,soxta,NOUN,1,syn,oov,9,9,9,9,8,9,8,8,6,7,9,9,7,8,6,9,7,9,2,6,8,9
1127,qadah,piyola,NOUN,1,syn,low,9,9,9,10,8,7,8,8,8,9,7,8,8,9,9,10,7,8,8,9,6,8
1128,saffoflik,ochiqlik,NOUN,1,syn,oov,8,9,8,10,8,9,8,9,8,9,7,8,7,10,6,8,7,8,2,7,3,6
1129,serxarxasha,injiq,NOUN,1,syn,oov,6,8,8,9,6,7,7,8,6,8,8,9,4,6,6,7,6,8,8,9,9,9
1130,sharob,may,NOUN,1,syn,low,7,10,9,10,7,8,9,10,9,10,8,9,10,10,9,9,7,8,9,8,3,8
1131,sitam,jabr,NOUN,1,syn,low,8,9,9,9,7,9,8,8,8,8,8,8,4,6,6,9,6,7,7,8,6,8
1132,so'qqaboshlik,yolg'izlik,NOUN,1,syn,oov,6,8,5,7,6,8,7,8,8,7,8,10,7,8,4,7,4,6,8,8,3,8
1133,subutsizlik,lafzsizlik,NOUN,1,syn,low,9,10,8,9,9,10,9,10,9,9,9,9,9,10,9,10,9,10,0,2,7,9
1134,tanbex,dakki,NOUN,1,syn,oov2,9,10,10,10,7,8,7,8,8,7,8,8,8,9,8,9,4,6,8,9,6,6
1135,tegajog'lik,shilqimlik,NOUN,1,syn,low,7,9,9,10,9,10,9,10,8,9,8,9,7,8,10,10,10,10,3,6,9,10
1136,tilmochlik,tarjimonlik,NOUN,1,syn,low,9,10,7,9,8,10,9,10,8,8,8,9,9,10,10,10,4,7,8,7,8,9
1137,xaloyiq,xalq,NOUN,1,syn,low,7,8,9,10,7,8,6,8,8,9,8,10,5,6,8,9,3,5,8,7,6,9
1138,shakllantir,tuzmoq,VERB,7187,syn,high,3,5,6,7,5,7,5,8,2,7,6,7,8,9,6,7,4,6,8,8,6,8
1139,bag'ishlan,atalgan,VERB,5882,syn,high,7,9,9,10,6,7,4,6,6,6,8,8,7,8,4,8,6,8,5,7,7,8
1140,qoldir,kechiktir,VERB,5392,syn,high,2,4,4,6,5,7,7,9,3,4,8,9,4,5,2,4,3,5,8,8,3,4
1141,yuksaltir,rivojlantir,VERB,3641,syn,high,9,9,7,8,9,8,8,7,7,9,9,10,9,10,5,8,8,9,9,8,6,8
1142,joylashtir,o'rnatilgan,VERB,3230,syn,high,5,8,7,8,6,8,8,10,7,8,2,7,7,8,3,7,6,5,5,8,1,7
1143,ko'maklash,yordamlash,VERB,3217,syn,high,9,10,9,10,8,8,8,9,9,9,9,10,9,10,8,9,10,10,8,9,9,9
1144,rag'batlantir,ruhlantir,VERB,2974,syn,high,6,8,7,9,7,8,9,10,9,10,7,8,7,9,8,10,8,9,2,6,8,9
1145,taqdirlan,mukofotlangan,VERB,2015,syn,high,6,8,6,9,7,7,8,10,7,8,8,9,7,9,6,9,8,9,8,8,8,9
1146,birlashtir,jipslashtir,VERB,1918,syn,high,6,8,8,9,8,9,6,7,7,9,8,9,6,7,9,10,6,9,8,8,8,9
1147,obodonlashtir,tozalash,VERB,1859,syn,high,8,10,9,10,7,10,8,8,9,9,7,9,6,8,9,9,8,9,6,8,7,7
1148,muvofiqlashtir,ixtisoslashtir,VERB,1683,syn,high,5,7,7,9,7,8,8,8,8,8,6,8,4,5,9,9,8,9,4,6,4,5
1149,jo'nat,yubor,VERB,1622,syn,high,9,10,9,9,7,8,7,8,0,9,9,10,6,7,4,6,0,8,6,8,6,8
1150,bitir,tugat,VERB,1387,syn,high,1,9,7,8,7,7,0,9,8,7,7,7,3,5,8,9,4,5,8,8,8,9
1151,rasmiylashtir,qonuniylashtir,VERB,1309,syn,high,4,7,7,8,7,8,5,6,4,9,7,7,4,7,6,9,3,6,8,9,7,8
1152,suxbatlash,so'zlash,VERB,1234,syn,oov2,9,10,9,9,8,9,6,8,6,8,7,8,8,9,6,8,6,8,8,8,8,8
1153,qayg'ur,o'yla,VERB,410,syn,high,2,6,6,7,3,5,3,5,4,6,8,9,3,5,3,6,2,4,7,6,6,5
1154,qo'zg'at,tebrat,VERB,360,syn,high,6,8,6,6,7,8,5,6,7,8,8,9,6,8,3,6,4,5,5,6,4,6
1155,mukofotlan,taqdirlan,VERB,344,syn,high,4,6,6,8,8,7,8,9,6,8,8,9,6,7,7,9,4,7,2,6,3,7
1156,yiqil,qula,VERB,261,syn,high,2,5,4,6,6,7,3,5,8,8,8,9,6,8,2,6,5,5,8,7,4,8
1157,qildir,bajartir,VERB,244,syn,high,9,10,8,9,8,8,6,7,7,9,8,9,7,8,7,9,7,8,9,7,8,9
1158,ardoqla,e'zozla,VERB,224,syn,high,8,9,9,9,8,9,8,8,8,9,10,10,10,10,6,8,7,7,8,9,8,9
1159,ruhlantir,g'ayratlantir,VERB,223,syn,high,9,10,8,10,9,9,9,9,10,9,7,8,8,9,7,9,9,9,8,9,7,9
1160,jaroxatlan,yaralan,VERB,190,syn,oov2,3,7,9,10,7,7,6,8,6,8,8,8,2,8,6,9,8,9,8,2,8,8
1162,muhrla,tamg'ala,VERB,152,syn,high,5,8,9,10,5,7,8,9,6,7,8,8,4,6,8,9,4,5,2,8,7,8
1163,tasnifla,toifala,VERB,152,syn,high,7,9,7,9,6,8,6,8,5,6,8,9,5,6,4,5,6,6,2,8,7,8
1164,yordamlash,ko'maklash,VERB,126,syn,high,9,10,9,10,9,8,9,9,9,9,8,10,8,9,9,10,9,10,8,10,9,9
1165,ilhomlantir,ruhlantir,VERB,121,syn,high,0,9,9,10,8,9,9,10,9,10,8,8,9,10,9,10,4,7,4,6,8,8
1166,mujassamlash,birlashtirish,VERB,103,syn,oov,9,10,7,7,6,8,7,7,5,7,5,6,6,7,6,8,6,6,8,9,7,8
1167,xavotirlan,qayg'ur,VERB,102,syn,high,3,5,6,8,6,8,4,8,3,5,9,9,4,5,3,5,4,6,8,7,3,6
1168,tinchlantir,yupantir,VERB,75,syn,high,7,9,6,7,6,8,9,9,4,8,8,8,7,9,4,7,7,8,8,10,8,9
1169,yaralan,jarahotlan,VERB,65,syn,high,7,9,8,9,5,6,6,8,6,8,8,8,7,8,8,9,4,6,9,8,7,8
1170,toliqtir,charchat,VERB,43,syn,med,9,9,8,9,7,8,8,8,10,10,9,10,10,10,9,10,9,9,8,9,6,9
1171,turkumla,tasnifla,VERB,43,syn,med,6,8,6,8,6,7,6,7,4,6,7,7,7,8,6,7,4,6,3,6,6,9
1172,tekislan,rostlan,VERB,39,syn,med,3,6,8,8,7,8,8,8,2,8,5,10,7,8,5,8,6,8,4,2,8,8
1173,sepish,yoyish,VERB,37,syn,med,3,5,3,5,7,8,3,6,4,6,8,9,3,5,4,7,2,4,7,7,3,9
1174,zaiflashtir,kuchsizlantir,VERB,37,syn,med,6,8,8,9,8,8,6,8,10,9,8,9,7,8,9,10,9,9,2,8,9,9
1175,qimirlat,tebrat,VERB,35,syn,med,4,7,9,10,6,7,6,8,8,8,7,8,6,7,6,7,6,7,8,10,4,8
1176,yolvor,yalin,VERB,34,syn,med,10,10,9,9,7,9,8,8,7,9,9,9,6,7,9,9,6,7,8,8,8,9
1178,sindirish,bo'laklash,VERB,31,syn,med,6,7,5,7,6,7,5,6,6,5,8,8,8,9,3,6,3,5,8,7,4,8
1179,maxkamlan,mustahkamlan,VERB,29,syn,oov2,4,6,9,9,4,6,4,5,4,6,9,9,6,7,6,7,5,6,8,8,8,9
1180,chigallashtir,murakkablashtir,VERB,24,syn,med,9,10,9,9,8,8,9,9,9,8,9,10,8,9,7,9,6,8,8,10,8,8
1181,zorlan,yolvor,VERB,24,syn,med,4,6,7,9,6,8,6,6,6,8,8,9,7,9,3,5,2,5,7,8,8,9
1182,qonunlashtir,rasmiylashtir,VERB,22,syn,oov,8,8,4,8,5,6,6,8,4,6,6,8,3,5,6,8,4,7,9,8,6,8
1183,laqillat,alda,VERB,21,syn,med,10,10,8,8,9,8,6,7,8,8,8,9,10,10,6,9,7,8,6,8,8,9
1184,tinchit,o'ldir,VERB,21,syn,med,2,5,4,5,4,5,5,6,6,8,6,7,2,4,3,5,3,4,6,6,8,9
1185,ko'rkamlashtir,obodonlashtir,VERB,20,syn,med,8,9,6,8,9,10,8,8,7,10,8,9,9,9,4,7,7,9,8,8,8,9
1186,nizolash,janjallash,VERB,20,syn,med,4,7,8,9,7,9,7,8,9,8,9,9,8,9,6,9,4,6,6,7,9,9
1187,chizdir,yozdir,VERB,19,syn,med,3,5,5,7,4,5,6,7,4,6,7,8,3,5,2,4,8,9,2,8,6,9
1188,sayqalla,jilovla,VERB,19,syn,med,4,6,8,9,5,7,8,9,8,9,8,8,6,7,3,6,8,9,8,9,1,2
1189,buzdir,vayron qil,VERB,17,syn,med,6,9,1,9,5,8,0,9,5,7,8,9,8,10,7,8,0,8,2,8,8,8
1190,gapirtir,so'zlattir,VERB,17,syn,med,8,9,9,10,7,8,7,8,6,7,8,9,10,10,6,7,6,7,8,8,6,8
1191,toraytir,kichraytir,VERB,17,syn,med,4,5,8,8,4,6,4,6,8,8,7,8,3,5,3,5,4,5,8,7,8,8
1192,tamg'alan,muhrlan,VERB,12,syn,med,7,9,8,8,5,7,7,8,7,6,8,8,9,10,6,8,6,7,6,8,3,6
1193,asabiylashtir,g'azablantir,VERB,11,syn,med,9,10,4,5,7,8,6,8,6,6,9,9,7,8,3,7,2,5,4,6,6,8
1194,dumalat,aylantir,VERB,11,syn,med,4,6,7,8,7,8,9,9,6,7,8,9,6,8,6,8,7,8,6,8,4,6
1195,ho'pla,ich,VERB,11,syn,med,3,6,9,10,5,8,4,6,4,8,7,7,4,6,4,8,4,7,6,7,7,8
1196,saflan,tekislan,VERB,11,syn,med,4,6,7,9,8,8,8,8,4,5,7,9,6,7,4,7,4,5,9,8,6,8
1161,uloqtir,otish,VERB,155,syn,high,6,8,5,7,6,7,7,9,6,8,8,9,7,9,6,8,4,6,8,7,4,8
1088,an'ana,urf,NOUN,33,syn,med,4,8,8,9,8,8,9,10,9,8,8,9,8,10,4,7,6,7,8,8,8,9
1197,yo'liqtir,uchrashtir,VERB,11,syn,med,2,5,7,8,8,8,3,5,5,7,8,8,2,5,3,7,2,6,8,9,8,9
1198,o'shqir,qichqir,VERB,10,syn,med,8,9,7,8,7,8,6,7,5,6,8,9,10,10,4,7,4,6,8,8,3,6
1199,o'qtal,qarat,VERB,9,syn,med,6,8,5,7,6,8,3,4,4,5,8,8,3,6,3,6,4,4,2,5,7,8
1200,ovuntir,taskin ber,VERB,9,syn,med,4,7,7,8,7,8,8,9,8,9,8,9,7,9,7,9,9,9,8,9,7,9
1201,bidirla,sezdir,VERB,8,syn,med,2,5,4,5,1,3,0,2,1,2,1,7,2,3,3,5,0,3,1,3,1,1
1202,fahmlash,sezish,VERB,8,syn,med,4,6,6,7,6,7,4,6,5,7,9,10,8,9,3,5,4,7,8,8,8,9
1203,shikastlantir,jarohatlantir,VERB,8,syn,med,6,9,9,10,7,8,5,6,8,9,8,8,9,10,7,9,9,9,8,8,8,9
1204,yanglishtir,chalkashtir,VERB,8,syn,med,9,9,8,8,7,8,7,7,8,9,8,8,7,9,4,7,7,8,5,7,3,6
1205,yuvintir,cho'miltir,VERB,8,syn,med,6,8,8,9,5,6,6,8,7,9,9,10,7,8,8,10,10,10,5,7,4,8
1206,abstraktlashtir,mavhumlashtirish,VERB,7,syn,oov,9,9,8,9,9,9,8,8,9,10,7,7,9,9,9,10,9,10,0,2,6,6
1207,o'rnashtir,joylashtir,VERB,7,syn,med,7,9,7,8,7,8,7,9,8,9,8,9,9,10,6,8,8,8,8,6,6,8
1208,gumonsira,shubhalan,VERB,6,syn,med,9,9,8,8,8,8,8,9,9,10,9,10,9,10,9,10,9,9,8,8,9,9
1209,valdira,aljira,VERB,6,syn,med,5,8,7,8,3,4,4,6,4,5,6,8,3,4,3,5,5,6,4,2,4,6
1210,ayqash,chalkash,VERB,5,syn,low,9,10,7,7,7,7,7,7,6,8,7,8,4,5,7,7,6,7,2,8,6,8
1211,chaqqonlash,tezlash,VERB,5,syn,low,7,9,8,8,7,8,7,8,6,8,7,8,7,5,5,8,6,9,8,8,8,9
1212,faxmla,angla,VERB,5,syn,low,6,8,6,7,8,8,7,8,8,8,9,10,6,8,6,8,6,7,4,6,6,9
