#,Word 1,Word 2,Pos,Frq,Type,Level,s1,r1,s2,r2,s3,r3,s4,r4,s5,r5,s6,r6,s7,r7,s8,r8,s9,r9,s10,r10,s11,r11,s12,r12
381,qismat,taqdir,NOUN,310,syn,high,9,10,10,10,9,8,9,10,9,10,10,10,6,8,9,10,4,9,9,8,8,9,8,9
382,qidirish,izlash,NOUN,304,syn,high,9,10,9,10,9,9,9,9,7,8,9,9,9,10,10,10,9,9,9,10,8,8,5,8
383,ishbilarmonlik,tadbirkorlik,NOUN,303,syn,high,7,9,8,9,8,8,9,9,9,10,7,8,8,9,9,10,8,9,6,7,7,9,9,9
384,mardlik,jasorat,NOUN,298,syn,high,8,9,8,10,9,9,8,9,10,9,10,10,9,10,10,10,6,7,8,9,8,9,6,8
385,muovin,o'rinbosar,NOUN,297,syn,high,2,6,8,9,4,6,3,8,8,9,9,9,3,5,8,9,3,5,9,9,8,8,9,9
386,yaylov,dala,NOUN,292,syn,high,4,7,4,6,6,7,6,6,7,8,8,9,8,8,7,10,4,6,8,10,3,4,6,6
387,javohir,olmos,NOUN,291,syn,high,9,9,9,9,7,9,8,9,9,10,8,9,5,6,7,9,4,6,0,2,7,9,3,6
388,o'rtoqlik,do'stlik,NOUN,288,syn,high,9,10,7,8,7,7,8,9,9,9,9,9,7,9,8,10,7,8,2,9,8,8,6,9
389,jamol,chiroy,NOUN,281,syn,high,8,10,6,8,6,8,9,9,9,9,6,9,4,8,7,9,6,8,5,8,7,8,7,8
390,urf,odat,NOUN,274,syn,high,4,7,9,9,9,10,10,10,6,9,8,8,7,8,10,10,9,9,7,5,7,8,8,8
391,zovur,ariq,NOUN,272,syn,high,8,9,9,9,8,9,3,8,3,7,6,7,8,9,5,7,5,6,3,8,8,9,2,8
392,tutmoq,ushlamoq,NOUN,258,syn,high,6,8,9,9,5,7,7,8,7,8,9,9,7,7,4,7,6,7,8,7,7,9,6,8
393,tortishuv,bahs,NOUN,249,syn,high,4,6,7,9,8,8,7,9,9,9,8,9,7,8,6,8,3,5,9,9,8,9,6,8
394,talaffuz,gapirish,NOUN,247,syn,high,2,6,6,9,5,7,6,7,6,7,8,8,5,7,3,6,3,5,8,6,7,8,8,9
395,oshno,o'rtoq,NOUN,242,syn,high,8,9,7,8,6,7,6,8,8,9,10,10,4,6,5,7,8,9,8,8,7,8,8,9
396,sirtqi,tashqi,NOUN,241,syn,high,8,9,10,10,7,8,8,8,8,9,7,8,8,9,5,7,4,6,6,8,7,9,3,6
397,birdamlik,jipslik,NOUN,234,syn,high,6,9,9,9,8,8,7,9,8,8,10,10,8,9,4,7,6,9,9,8,7,8,8,9
398,tafovut,farq,NOUN,234,syn,high,8,9,9,9,8,9,8,9,7,8,9,10,7,9,9,9,7,8,6,8,8,9,8,9
399,ijozat,ruxsat,NOUN,232,syn,high,9,9,6,9,9,10,7,7,8,9,9,9,9,10,6,8,9,9,8,8,8,9,9,10
400,rafiqa,xotin,NOUN,224,syn,high,10,10,10,10,9,10,10,10,7,9,9,9,9,10,10,10,8,9,8,8,7,8,6,6
401,saxro,cho'l,NOUN,224,syn,oov2,9,9,9,9,9,10,9,10,8,8,8,9,10,5,9,10,7,10,8,8,8,9,9,9
402,hibs,qamoq,NOUN,222,syn,high,8,9,10,10,8,9,9,9,6,8,9,9,9,9,7,9,7,8,8,6,7,9,8,9
403,loqaydlik,beparvolik,NOUN,217,syn,high,9,10,7,8,8,9,9,10,7,8,8,9,8,9,10,10,9,9,8,8,8,9,8,10
404,ulamo,olim,NOUN,213,syn,high,8,9,8,9,8,7,8,10,7,9,8,9,6,8,7,9,6,8,8,8,8,8,5,8
405,muallima,o'qituvchi,NOUN,195,syn,high,8,10,10,10,9,10,7,8,7,9,6,10,5,9,9,10,4,8,6,8,8,9,7,9
406,suverenitet,mustaqillik,NOUN,191,syn,high,9,10,9,9,8,8,7,8,5,8,9,9,10,6,6,8,7,9,8,8,7,8,8,8
407,sayyod,ovchi,NOUN,188,syn,high,9,9,10,10,7,9,9,10,8,8,9,9,5,7,9,10,9,10,2,6,8,9,8,9
408,bosmaxona,noshirlik,NOUN,181,syn,high,6,9,8,9,5,7,9,10,8,10,8,8,8,9,3,6,8,8,2,6,8,9,8,10
409,kenja,kichik,NOUN,178,syn,high,6,6,5,6,5,7,5,6,8,8,5,6,6,7,3,5,3,5,8,7,7,8,7,8
410,qavm,qabila,NOUN,169,syn,high,5,9,7,9,9,9,8,8,10,10,8,9,7,9,7,10,8,9,8,2,7,8,8,9
411,imlo,yozuv,NOUN,164,syn,high,7,8,6,8,7,10,6,9,6,9,7,7,6,10,9,10,6,7,8,10,8,9,6,8
412,adad,miqdor,NOUN,161,syn,high,8,9,8,8,6,7,8,8,8,8,2,8,8,10,6,9,8,9,6,8,7,8,8,9
413,silsila,avlod,NOUN,157,syn,high,6,8,6,8,8,9,8,9,6,8,7,8,6,8,4,6,10,10,5,6,8,9,8,8
414,talant,iste'dod,NOUN,149,syn,high,8,10,10,10,8,9,8,10,9,10,8,8,9,10,9,10,9,10,9,10,8,9,9,9
415,yog'du,yorug'lik,NOUN,142,syn,high,7,8,6,8,8,9,7,7,7,8,8,9,7,8,6,7,3,6,8,8,8,9,7,8
416,zoologiya,xayvonot,NOUN,141,syn,high,6,9,8,9,8,10,9,9,9,10,5,9,10,10,6,9,8,9,7,8,7,9,8,9
417,bashariyat,insoniyat,NOUN,140,syn,high,7,9,9,10,9,10,8,9,10,10,9,9,9,10,9,9,9,9,2,6,8,9,8,9
418,sukut,jimlik,NOUN,137,syn,high,7,9,8,8,8,8,9,9,8,9,0,8,6,8,8,10,4,5,8,6,7,8,4,8
419,ko'makchi,yordamchi,NOUN,136,syn,high,9,10,9,10,9,8,9,9,9,10,8,8,9,10,9,10,9,9,8,8,7,8,8,9
420,kunchiqar,shafaq,NOUN,130,syn,high,3,6,7,8,3,7,5,6,4,6,8,8,4,7,3,6,1,4,6,8,7,8,3,7
421,taskin,tasalli,NOUN,127,syn,high,8,10,9,10,8,9,9,10,8,9,9,10,7,9,7,9,8,9,9,10,8,8,6,6
422,zulmat,qorung'ulik,NOUN,124,syn,high,10,10,9,9,6,7,5,8,8,8,0,2,8,9,4,7,8,9,8,9,7,8,9,9
423,parvardigor,alloh,NOUN,117,syn,high,9,10,8,9,9,9,10,10,9,10,10,10,10,10,10,10,10,10,8,10,8,9,10,10
424,dastxat,imzo,NOUN,116,syn,high,9,9,5,5,9,9,9,10,7,9,9,10,6,9,10,10,8,10,9,8,8,9,4,7
425,moziy,tarix,NOUN,116,syn,high,8,10,6,9,9,10,8,8,9,10,7,8,9,9,7,10,6,6,9,8,7,9,8,8
426,sovutgich,muzlatgich,NOUN,112,syn,high,8,9,8,10,8,9,7,7,7,10,8,9,9,10,5,8,4,6,9,8,7,9,9,9
427,radiatsiya,nurlanish,NOUN,106,syn,high,4,8,6,10,5,8,9,10,8,10,8,10,6,9,6,10,2,7,8,8,7,9,6,7
428,vorislik,merosxo'rlik,NOUN,106,syn,high,10,10,8,9,9,10,10,10,10,10,7,9,9,9,10,10,10,10,8,8,8,9,9,9
429,ekinzor,dala,NOUN,105,syn,high,8,8,8,10,7,8,7,9,7,8,7,10,6,8,7,9,5,10,6,7,8,9,6,8
430,tashnalik,suvsirash,NOUN,101,syn,high,9,10,10,10,8,9,10,10,8,9,6,7,9,10,9,9,10,10,8,7,7,8,6,8
431,ulug'vorlik,buyuklik,NOUN,101,syn,high,8,10,8,9,8,9,9,9,8,8,8,9,9,10,9,10,10,10,2,8,7,8,9,9
432,tirishqoqlik,xarakatchanlik,NOUN,100,syn,high,8,9,8,8,7,9,9,9,9,10,9,9,9,10,8,9,8,9,8,8,8,9,8,9
433,kiyik,oxu,NOUN,99,syn,high,9,9,9,10,9,9,9,9,8,8,10,10,9,9,6,7,9,10,8,8,6,8,8,9
434,bo'sag'a,ostona,NOUN,95,syn,high,10,10,9,10,7,9,10,10,8,8,8,9,9,10,9,10,9,10,9,10,8,9,8,8
435,iltijo,o'tinch,NOUN,92,syn,high,9,10,8,9,6,7,8,10,7,9,7,10,5,8,4,7,8,9,8,8,8,9,6,8
436,yegulik,ozuqa,NOUN,89,syn,high,6,8,9,9,7,8,5,8,6,9,9,9,4,8,4,6,4,5,6,8,7,8,9,9
437,jumboq,topishmoq,NOUN,83,syn,high,4,9,7,8,7,9,7,8,8,9,9,9,9,10,5,7,7,8,8,10,8,9,6,8
438,mangulik,abadiylik,NOUN,80,syn,high,10,10,10,10,8,8,8,9,8,9,9,9,9,9,7,9,7,9,10,9,8,8,3,8
439,sirdosh,maslakdosh,NOUN,80,syn,high,9,9,8,8,7,8,8,9,9,8,8,9,8,10,6,9,4,6,6,8,7,9,8,8
440,o'tov,chodir,NOUN,72,syn,high,10,10,9,9,6,7,9,10,8,8,9,10,9,10,6,9,7,8,9,9,7,8,3,6
441,sulh,kelishuv,NOUN,71,syn,high,8,9,8,10,6,7,7,9,9,9,7,8,8,9,8,9,9,9,0,7,8,9,7,9
442,epchillik,chaqqonlik,NOUN,69,syn,high,9,9,10,10,7,9,9,10,8,9,8,9,9,10,9,10,9,10,8,8,8,8,9,9
443,marvarid,olmos,NOUN,69,syn,high,6,9,9,9,8,9,8,9,6,8,8,10,9,10,7,9,5,6,7,8,7,8,7,8
444,sukunat,jimlik,NOUN,67,syn,high,8,9,9,9,7,9,9,9,7,8,8,10,8,9,9,10,1,5,8,8,8,9,6,8
445,suvsizlik,qurg'oqchilik,NOUN,65,syn,high,4,7,8,10,9,10,9,10,4,9,9,10,6,7,3,7,3,7,4,8,8,9,9,9
446,tarqoq,siyrak,NOUN,65,syn,high,7,8,9,9,8,9,9,9,9,10,9,10,8,9,2,4,7,8,7,10,8,9,6,8
447,chiqit,ahlat,NOUN,63,syn,high,8,10,7,9,6,8,9,9,8,8,8,8,10,10,7,9,7,7,6,8,7,8,3,6
448,faryod,nola,NOUN,63,syn,high,9,10,7,9,6,7,7,9,9,9,9,9,7,8,9,10,8,8,8,7,7,8,7,8
449,hijron,ayriliq,NOUN,62,syn,high,9,10,8,9,9,9,9,9,9,10,10,10,8,9,8,10,9,9,8,8,8,9,9,9
450,xaloskor,qutqaruvchi,NOUN,62,syn,high,9,9,8,8,7,8,9,9,9,8,6,10,9,10,7,9,7,9,8,7,8,9,9,10
451,zukkolik,donolik,NOUN,62,syn,high,7,8,8,9,7,8,8,10,9,9,8,9,10,10,6,8,6,8,9,8,8,9,8,9
452,daraxtzor,o'rmon,NOUN,61,syn,high,9,10,5,8,8,9,8,9,9,9,8,9,6,8,10,10,8,9,2,8,7,8,8,9
453,qahraton,sovuq,NOUN,58,syn,high,3,7,8,9,4,8,4,8,7,8,8,9,8,10,6,9,9,10,9,8,8,9,6,8
454,volida,ona,NOUN,56,syn,high,10,10,10,10,7,9,9,10,10,10,9,9,8,10,10,10,10,10,6,4,8,9,9,9
455,inoqlik,totuvlik,NOUN,55,syn,high,9,10,9,10,8,8,9,9,9,9,8,8,9,10,9,9,9,9,9,10,7,8,8,10
456,luqma,ozuqa,NOUN,55,syn,high,3,6,7,9,7,9,5,6,2,8,7,9,3,5,5,8,6,7,8,6,8,8,3,6
457,judolik,ayriliq,NOUN,53,syn,high,9,9,10,10,7,8,8,9,9,9,8,8,10,4,8,9,10,10,8,10,8,9,9,9
458,kirdikor,ayb,NOUN,53,syn,high,8,9,5,9,8,7,8,9,7,8,8,9,3,10,9,10,8,9,8,7,8,9,3,7
459,yumshatish,bo'shatish,NOUN,50,syn,med,4,6,8,9,3,5,3,4,4,5,8,9,5,6,3,5,3,5,8,7,7,8,4,5
460,jahannam,do'zax,NOUN,49,syn,med,10,10,9,10,9,9,8,10,9,9,9,9,6,8,10,10,9,10,8,8,7,9,8,9
461,zabon,til,NOUN,49,syn,med,9,10,9,9,8,8,9,10,8,9,8,8,6,8,10,10,9,10,4,7,8,9,7,8
462,ajoyibot,g'aroyibot,NOUN,48,syn,med,9,10,6,7,7,8,8,9,9,10,8,9,9,9,8,9,9,9,8,8,8,9,9,9
463,muomila,so'zlashuv,NOUN,48,syn,med,6,8,8,8,6,8,6,6,9,10,8,9,8,10,7,9,3,4,8,10,8,9,7,8
464,arizachi,da'vogar,NOUN,47,syn,med,8,9,7,8,9,9,8,10,9,10,5,4,9,10,9,10,7,9,1,1,7,8,7,9
465,tintuv,tekshiruv,NOUN,47,syn,med,8,9,5,8,5,6,4,7,8,8,8,9,6,7,6,7,3,4,8,9,8,9,6,8
466,nochorlik,ilojsizlik,NOUN,46,syn,med,9,10,10,10,8,9,9,9,7,8,8,9,8,9,4,6,3,4,6,7,7,8,8,9
467,xodim,rahbar,NOUN,411,syn,high,2,4,4,6,3,5,2,6,3,8,5,6,2,6,4,7,4,5,6,7,7,8,4,5
468,nabotot,botanika,NOUN,102,syn,high,7,10,7,8,7,8,8,8,6,8,7,7,7,9,7,9,7,9,3,4,7,8,8,9
469,kulba,chayla,NOUN,43,syn,med,9,10,9,9,8,9,6,7,6,9,7,8,10,10,6,9,6,10,6,8,8,9,5,6
470,hotima,yakun,NOUN,42,syn,oov2,5,8,10,10,8,9,9,8,8,10,8,10,5,8,8,9,8,9,9,9,7,8,8,8
471,muloyimlik,xushmuomala,NOUN,42,syn,med,8,9,9,10,8,7,9,10,9,10,7,8,7,8,9,10,9,10,8,8,7,9,3,6
472,bedorlik,uyqusizlik,NOUN,38,syn,med,8,9,10,10,7,8,9,9,8,9,8,9,7,8,10,10,8,9,7,9,8,9,9,9
473,qalloblik,tovlamachilik,NOUN,37,syn,med,9,10,8,10,7,8,8,10,9,10,7,8,9,10,9,9,9,9,6,8,8,9,6,8
474,sergaklik,xushyorlik,NOUN,37,syn,med,9,9,9,9,8,9,9,10,9,10,10,10,9,10,9,9,9,10,10,9,7,8,8,9
475,zavja,xotin,NOUN,37,syn,med,8,9,10,10,9,10,8,8,9,10,8,9,9,10,9,10,6,7,8,8,7,9,3,6
476,afsungar,jodugar,NOUN,32,syn,med,8,10,10,10,7,8,8,9,9,9,9,10,8,10,8,9,9,9,8,8,7,8,8,9
477,irqchilik,millatchilik,NOUN,32,syn,med,8,9,7,8,8,8,8,10,8,8,8,8,10,10,7,9,7,9,8,10,8,9,7,8
478,jilmayish,kulish,NOUN,32,syn,med,6,10,6,8,5,8,7,9,7,8,9,9,9,10,6,9,8,8,6,8,8,9,6,8
479,zurriyot,nasl,NOUN,24,syn,med,9,10,8,10,9,9,10,10,9,9,9,10,10,10,3,8,9,10,8,10,8,9,8,9
480,g'urbat,azob,NOUN,18,syn,med,4,7,7,8,6,8,7,8,4,6,8,10,4,8,3,5,6,7,8,8,7,9,4,8
481,so'qir,ko'ziojiz,NOUN,18,syn,med,9,10,10,10,10,9,8,9,8,10,9,9,9,10,9,10,9,10,9,10,8,9,8,9
482,gumashta,xamtovoq,NOUN,16,syn,med,5,6,7,8,6,7,6,7,7,8,7,7,6,8,2,6,3,6,8,7,8,9,3,6
483,garmdori,qalampir,NOUN,15,syn,med,7,9,6,9,6,8,8,9,9,9,7,8,9,10,7,9,6,7,8,8,7,8,5,7
484,o'jarlik,qaysarlik,NOUN,13,syn,med,9,9,8,8,8,9,10,10,10,9,7,8,10,10,10,10,9,9,8,10,8,9,8,9
485,qopcha,xaltacha,NOUN,13,syn,med,3,9,6,7,6,7,5,6,9,9,9,9,4,6,6,8,4,6,6,7,8,9,8,9
486,mushk,atir,NOUN,10,syn,med,8,9,8,8,7,7,8,8,10,10,7,8,8,10,6,8,7,8,8,7,8,9,7,8
487,nashriyot,bosmaxona,NOUN,5,syn,low,9,10,6,8,8,9,7,9,9,10,9,10,4,7,4,6,6,8,8,8,7,8,8,9
488,mizoj,xaridor,NOUN,4,syn,low,10,10,10,10,9,9,10,10,10,9,8,8,10,10,10,10,9,10,4,7,8,9,9,10
489,muttahamlik,ayyorlik,NOUN,4,syn,low,7,9,7,8,9,9,7,9,10,10,5,7,7,8,8,10,9,10,5,8,7,8,8,9
490,sharmsizlik,behayolik,NOUN,4,syn,oov,7,9,8,9,8,9,8,9,10,10,9,9,9,10,9,10,7,8,7,9,7,8,9,9
491,yuzsizlik,bezbetlik,NOUN,4,syn,low,9,9,8,9,7,8,8,9,7,8,8,8,9,9,10,10,9,10,8,6,7,8,3,6
492,chaqimchilik,sotqinlik,NOUN,3,syn,oov,2,6,4,5,4,6,4,5,5,5,7,6,4,5,3,6,2,5,8,8,8,9,7,8
493,fosiqlik,qabihlik,NOUN,3,syn,low,6,9,8,8,7,8,6,7,9,8,2,2,8,10,6,9,9,9,8,6,8,9,9,9
494,safardosh,xamroh,NOUN,3,syn,oov,4,8,8,10,8,8,6,8,8,8,8,9,6,8,10,10,6,7,8,7,8,9,7,8
495,tashviqot,targ'ibot,NOUN,3,syn,low,9,10,8,8,8,10,7,9,9,10,7,8,9,10,9,10,9,10,8,10,7,8,8,9
496,toqatsizlik,besabrlik,NOUN,3,syn,low,7,9,9,10,8,8,7,9,8,9,8,9,6,7,4,8,4,5,8,9,7,8,6,7
497,bezbetlik,yuzsizlik,NOUN,2,syn,low,10,10,6,7,7,8,8,9,6,8,8,9,9,10,9,10,9,9,2,9,7,8,6,6
498,ilmparvar,olim,NOUN,2,syn,low,4,7,5,8,6,6,8,9,7,8,8,8,6,10,4,7,3,5,8,7,8,9,6,6
499,latifago'y,qiziqchi,NOUN,2,syn,oov,9,10,6,9,7,8,8,8,8,8,10,10,9,9,5,7,3,4,4,6,8,9,7,8
500,sarhad,chegara,NOUN,2,syn,low,7,9,8,10,7,8,6,8,9,8,9,9,8,9,8,9,9,9,4,9,8,9,6,8
501,valiaxt,shaxzoda,NOUN,2,syn,oov,9,9,8,9,9,10,10,10,6,8,8,9,8,9,7,9,8,9,8,8,8,9,8,8
502,zakot,ehson,NOUN,2,syn,low,6,8,8,9,8,8,6,7,9,9,7,8,6,9,6,9,6,8,4,9,8,9,8,9
503,afsunkor,sehrgar,NOUN,1,syn,low,8,10,8,8,8,8,9,10,9,9,9,9,9,10,9,10,8,9,8,10,7,9,9,10
504,betamizlik,ablahlik,NOUN,1,syn,oov,4,6,7,9,7,7,6,8,8,9,9,9,9,10,4,7,6,8,7,9,8,9,8,9
505,betayinlik,tutruqsizlik,NOUN,1,syn,low,9,10,8,9,7,8,9,10,9,10,9,10,9,10,6,8,10,10,2,6,8,9,8,8
506,ehson,xayriya,NOUN,1,syn,low,9,9,8,10,7,9,8,10,8,9,7,10,9,10,7,9,6,7,8,9,8,9,8,8
507,gazanda,ablah,NOUN,1,syn,low,7,9,3,6,8,9,8,8,7,8,7,9,4,5,6,9,6,7,2,2,8,9,3,6
508,ginachi,arazchi,NOUN,1,syn,low,8,9,8,8,6,8,9,9,9,9,9,10,9,10,9,10,8,9,9,8,8,9,8,8
509,hayolchanlik,xayolparastlik,NOUN,1,syn,oov2,9,9,8,8,8,9,9,9,8,9,7,7,8,9,6,7,9,10,8,2,7,8,6,8
510,kamquvvatlik,bemajol,NOUN,1,syn,low,9,9,8,8,4,6,8,8,6,7,9,9,7,8,8,9,3,4,2,8,7,9,6,7
511,mojarochi,janjalkash,NOUN,1,syn,low,8,10,9,10,8,8,7,8,7,8,6,9,6,8,6,8,6,7,6,8,8,9,9,9
512,naxor,tong,NOUN,1,syn,low,6,7,9,9,7,9,8,9,9,8,7,8,8,10,4,9,8,10,2,7,8,9,8,9
513,noasl,soxta,NOUN,1,syn,oov,9,9,9,9,8,9,8,8,6,7,9,9,7,8,6,9,7,9,2,6,7,9,8,9
514,qadah,piyola,NOUN,1,syn,low,9,9,9,10,8,7,8,8,8,9,7,8,8,9,9,10,7,8,8,9,7,9,6,8
515,saffoflik,ochiqlik,NOUN,1,syn,oov,8,9,8,10,8,9,8,9,8,9,7,8,7,10,6,8,7,8,2,7,7,8,3,6
516,serxarxasha,injiq,NOUN,1,syn,oov,6,8,8,9,6,7,7,8,6,8,8,9,4,6,6,7,6,8,8,9,7,9,9,9
517,sharob,may,NOUN,1,syn,low,7,10,9,10,7,8,9,10,9,10,8,9,10,10,9,9,7,8,9,8,7,8,3,8
518,sitam,jabr,NOUN,1,syn,low,8,9,9,9,7,9,8,8,8,8,8,8,4,6,6,9,6,7,7,8,8,9,6,8
519,so'qqaboshlik,yolg'izlik,NOUN,1,syn,oov,6,8,5,7,6,8,7,8,8,7,8,10,7,8,4,7,4,6,8,8,8,9,3,8
520,subutsizlik,lafzsizlik,NOUN,1,syn,low,9,10,8,9,9,10,9,10,9,9,9,9,9,10,9,10,9,10,0,2,8,8,7,9
521,tanbex,dakki,NOUN,1,syn,oov2,9,10,10,10,7,8,7,8,8,7,8,8,8,9,8,9,4,6,8,9,7,8,6,6
522,tegajog'lik,shilqimlik,NOUN,1,syn,low,7,9,9,10,9,10,9,10,8,9,8,9,7,8,10,10,10,10,3,6,8,9,9,10
523,tilmochlik,tarjimonlik,NOUN,1,syn,low,9,10,7,9,8,10,9,10,8,8,8,9,9,10,10,10,4,7,8,7,8,9,8,9
524,xaloyiq,xalq,NOUN,1,syn,low,7,8,9,10,7,8,6,8,8,9,8,10,5,6,8,9,3,5,8,7,7,8,6,9
525,shakllantir,tuzmoq,VERB,7187,syn,high,3,5,6,7,5,7,5,8,2,7,6,7,8,9,6,7,4,6,8,8,4,5,6,8
526,bag'ishlan,atalgan,VERB,5882,syn,high,7,9,9,10,6,7,4,6,6,6,8,8,7,8,4,8,6,8,5,7,8,8,7,8
527,qoldir,kechiktir,VERB,5392,syn,high,2,4,4,6,5,7,7,9,3,4,8,9,4,5,2,4,3,5,8,8,8,9,3,4
528,yuksaltir,rivojlantir,VERB,3641,syn,high,9,9,7,8,9,8,8,7,7,9,9,10,9,10,5,8,8,9,9,8,8,9,6,8
529,joylashtir,o'rnatilgan,VERB,3230,syn,high,5,8,7,8,6,8,8,10,7,8,2,7,7,8,3,7,6,5,5,8,8,9,1,7
530,ko'maklash,yordamlash,VERB,3217,syn,high,9,10,9,10,8,8,8,9,9,9,9,10,9,10,8,9,10,10,8,9,8,9,9,9
531,rag'batlantir,ruhlantir,VERB,2974,syn,high,6,8,7,9,7,8,9,10,9,10,7,8,7,9,8,10,8,9,2,6,8,9,8,9
532,taqdirlan,mukofotlangan,VERB,2015,syn,high,6,8,6,9,7,7,8,10,7,8,8,9,7,9,6,9,8,9,8,8,8,9,8,9
533,birlashtir,jipslashtir,VERB,1918,syn,high,6,8,8,9,8,9,6,7,7,9,8,9,6,7,9,10,6,9,8,8,8,9,8,9
534,obodonlashtir,tozalash,VERB,1859,syn,high,8,10,9,10,7,10,8,8,9,9,7,9,6,8,9,9,8,9,6,8,8,9,7,7
535,muvofiqlashtir,ixtisoslashtir,VERB,1683,syn,high,5,7,7,9,7,8,8,8,8,8,6,8,4,5,9,9,8,9,4,6,8,9,4,5
536,jo'nat,yubor,VERB,1622,syn,high,9,10,9,9,7,8,7,8,0,9,9,10,6,7,4,6,0,8,6,8,8,9,6,8
537,bitir,tugat,VERB,1387,syn,high,1,9,7,8,7,7,0,9,8,7,7,7,3,5,8,9,4,5,8,8,8,9,8,9
538,rasmiylashtir,qonuniylashtir,VERB,1309,syn,high,4,7,7,8,7,8,5,6,4,9,7,7,4,7,6,9,3,6,8,9,7,8,7,8
539,suxbatlash,so'zlash,VERB,1234,syn,oov2,9,10,9,9,8,9,6,8,6,8,7,8,8,9,6,8,6,8,8,8,8,9,8,8
540,qayg'ur,o'yla,VERB,410,syn,high,2,6,6,7,3,5,3,5,4,6,8,9,3,5,3,6,2,4,7,6,8,9,6,5
541,qo'zg'at,tebrat,VERB,360,syn,high,6,8,6,6,7,8,5,6,7,8,8,9,6,8,3,6,4,5,5,6,7,8,4,6
542,mukofotlan,taqdirlan,VERB,344,syn,high,4,6,6,8,8,7,8,9,6,8,8,9,6,7,7,9,4,7,2,6,8,9,3,7
543,yiqil,qula,VERB,261,syn,high,2,5,4,6,6,7,3,5,8,8,8,9,6,8,2,6,5,5,8,7,7,8,4,8
544,qildir,bajartir,VERB,244,syn,high,9,10,8,9,8,8,6,7,7,9,8,9,7,8,7,9,7,8,9,7,8,8,8,9
545,ardoqla,e'zozla,VERB,224,syn,high,8,9,9,9,8,9,8,8,8,9,10,10,10,10,6,8,7,7,8,9,7,8,8,9
546,ruhlantir,g'ayratlantir,VERB,223,syn,high,9,10,8,10,9,9,9,9,10,9,7,8,8,9,7,9,9,9,8,9,7,9,7,9
547,jaroxatlan,yaralan,VERB,190,syn,oov2,3,7,9,10,7,7,6,8,6,8,8,8,2,8,6,9,8,9,8,2,7,9,8,8
548,muhrla,tamg'ala,VERB,152,syn,high,5,8,9,10,5,7,8,9,6,7,8,8,4,6,8,9,4,5,2,8,7,8,7,8
549,tasnifla,toifala,VERB,152,syn,high,7,9,7,9,6,8,6,8,5,6,8,9,5,6,4,5,6,6,2,8,8,9,7,8
550,yordamlash,ko'maklash,VERB,126,syn,high,9,10,9,10,9,8,9,9,9,9,8,10,8,9,9,10,9,10,8,10,7,8,9,9
551,ilhomlantir,ruhlantir,VERB,121,syn,high,0,9,9,10,8,9,9,10,9,10,8,8,9,10,9,10,4,7,4,6,7,9,8,8
552,mujassamlash,birlashtirish,VERB,103,syn,oov,9,10,7,7,6,8,7,7,5,7,5,6,6,7,6,8,6,6,8,9,8,9,7,8
553,xavotirlan,qayg'ur,VERB,102,syn,high,3,5,6,8,6,8,4,8,3,5,9,9,4,5,3,5,4,6,8,7,8,9,3,6
554,tinchlantir,yupantir,VERB,75,syn,high,7,9,6,7,6,8,9,9,4,8,8,8,7,9,4,7,7,8,8,10,8,8,8,9
555,yaralan,jarahotlan,VERB,65,syn,high,7,9,8,9,5,6,6,8,6,8,8,8,7,8,8,9,4,6,9,8,7,8,7,8
556,toliqtir,charchat,VERB,43,syn,med,9,9,8,9,7,8,8,8,10,10,9,10,10,10,9,10,9,9,8,9,8,8,6,9
557,turkumla,tasnifla,VERB,43,syn,med,6,8,6,8,6,7,6,7,4,6,7,7,7,8,6,7,4,6,3,6,7,8,6,9
558,tekislan,rostlan,VERB,39,syn,med,3,6,8,8,7,8,8,8,2,8,5,10,7,8,5,8,6,8,4,2,7,8,8,8
559,sepish,yoyish,VERB,37,syn,med,3,5,3,5,7,8,3,6,4,6,8,9,3,5,4,7,2,4,7,7,8,9,3,9
560,zaiflashtir,kuchsizlantir,VERB,37,syn,med,6,8,8,9,8,8,6,8,10,9,8,9,7,8,9,10,9,9,2,8,8,9,9,9
561,qimirlat,tebrat,VERB,35,syn,med,4,7,9,10,6,7,6,8,8,8,7,8,6,7,6,7,6,7,8,10,8,9,4,8
562,yolvor,yalin,VERB,34,syn,med,10,10,9,9,7,9,8,8,7,9,9,9,6,7,9,9,6,7,8,8,8,9,8,9
563,sindirish,bo'laklash,VERB,31,syn,med,6,7,5,7,6,7,5,6,6,5,8,8,8,9,3,6,3,5,8,7,7,9,4,8
564,maxkamlan,mustahkamlan,VERB,29,syn,oov2,4,6,9,9,4,6,4,5,4,6,9,9,6,7,6,7,5,6,8,8,7,8,8,9
565,chigallashtir,murakkablashtir,VERB,24,syn,med,9,10,9,9,8,8,9,9,9,8,9,10,8,9,7,9,6,8,8,10,8,9,8,8
566,zorlan,yolvor,VERB,24,syn,med,4,6,7,9,6,8,6,6,6,8,8,9,7,9,3,5,2,5,7,8,8,9,8,9
567,qonunlashtir,rasmiylashtir,VERB,22,syn,oov,8,8,4,8,5,6,6,8,4,6,6,8,3,5,6,8,4,7,9,8,7,8,6,8
568,laqillat,alda,VERB,21,syn,med,10,10,8,8,9,8,6,7,8,8,8,9,10,10,6,9,7,8,6,8,7,9,8,9
569,tinchit,o'ldir,VERB,21,syn,med,2,5,4,5,4,5,5,6,6,8,6,7,2,4,3,5,3,4,6,6,8,9,8,9
